tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt4144684	tvMiniSeries	The Living Earth	The Living Earth	0	1948	1948	11	Documentary,Short
tt10315826	tvSeries	Fear Factor Türkiye	Fear Factor Türkiye	0	2006	2006	\N	Game-Show
tt10218126	tvMiniSeries	Comedo	Comedo	0	2009	2011	\N	Comedy
tt6548416	tvSeries	Madre Paula	Madre Paula	0	2017	2017	\N	Drama,History,Romance
tt0081856	tvSeries	Dynasty	Dynasty	0	1981	1989	60	Drama,Romance
tt0889258	tvSeries	Anwalt Abel	Anwalt Abel	0	1988	2001	90	Crime
tt3411430	tvSeries	Vriendinnen	Vriendinnen	0	2014	2015	45	Comedy,Drama,Romance
tt0111912	tvSeries	Castles	Castles	0	1995	1995	30	Drama
tt10880226	tvMiniSeries	BR x 420: NFL Vets on Cannabis and Football	BR x 420: NFL Vets on Cannabis and Football	0	2018	2018	\N	Talk-Show
tt7169042	tvSeries	Asvalttiviidakot	Asvalttiviidakot	0	2017	2017	\N	Documentary
tt16433558	tvMiniSeries	Britain's Favourite Food	Britain's Favourite Food	0	2018	2018	\N	Documentary
tt0056770	tvSeries	Let's Make a Deal	Let's Make a Deal	0	1963	2003	30	Family,Game-Show
tt9425958	tvSeries	Retromania	Retromania	0	2015	2015	\N	Music
tt11327420	tvSeries	Joulukalenteri: Tonttuakatemia	Joulukalenteri: Tonttuakatemia	0	2019	2019	\N	Family,Fantasy
tt5299158	tvSeries	The Third	The Third	0	2010	2012	5	Sci-Fi
tt1309389	tvSeries	Gordon Ramsay: Cookalong Live	Gordon Ramsay: Cookalong Live	0	2008	2011	48	Reality-TV
tt0487327	tvSeries	¿Quién dice la verdad?	¿Quién dice la verdad?	0	1965	1966	30	Game-Show
tt4568372	tvMiniSeries	Residue	Residue	0	2015	2015	130	Drama,Horror,Mystery
tt16044732	tvSeries	Stray Sheep	Sutorei shîpu no daibouken	0	1994	2000	\N	Animation
tt0484334	tvSeries	Alice, I Think	Alice, I Think	0	2006	2006	\N	Comedy,Family
tt14674772	tvSeries	Akashadoothu	Akashadoothu	0	2011	2013	\N	Drama,Romance
tt9675384	tvSeries	Jhakaas Making Of	Jhakaas Making Of	0	2015	2016	\N	Reality-TV
tt3079768	tvSeries	Dominion	Dominion	0	2014	2015	90	Action,Drama,Fantasy
tt0130729	tvSeries	Glass Mask	Garasu no kamen	0	1997	1997	\N	Drama,Romance
tt12299378	tvSeries	I'll Make a Habit of It	Cho kuse ni nariso	0	1994	1995	\N	Animation,Comedy,Romance
tt21982070	tvSeries	Chota Birbal	Chota Birbal	0	2014	2014	\N	Reality-TV
tt14185248	tvMiniSeries	Harry Hill's Lonely Island	Harry Hill's Lonely Island	0	2021	2022	4	Comedy
tt19801662	tvSeries	A Team	A Team	0	2013	2014	21	Comedy,Drama
tt1312829	tvSeries	Ski Patrol	Ski Patrol	0	2008	2008	30	Reality-TV
tt30088595	tvSeries	Domingo de Goles	Domingo de Goles	0	2013	2015	\N	Sport,Talk-Show
tt27736609	tvSeries	Family Ties	Family Ties	0	2023	2023	\N	Drama
tt6276826	tvSeries	I alli plevra tou toihou	I alli plevra tou toihou	0	1999	2000	45	Drama
tt4623190	tvSeries	exclusiv	exclusiv	0	1982	1985	45	Documentary
tt27930166	tvMiniSeries	Inspiratörerna	Inspiratörerna	0	2000	2000	38	Talk-Show
tt4033242	tvSeries	Life Story Project	Life Story Project	0	2012	2013	\N	Documentary
tt7431442	tvSeries	Refresh 3+7	Refresh 3+7	0	2013	2013	43	Romance
tt12130728	tvSeries	Wild and Wonderful Denmark	Vilde vidunderlige Danmark	0	2020	2020	60	Documentary
tt1757361	tvSeries	Ogags	Ogags	0	2008	2010	60	Comedy
tt1379690	tvSeries	Lights Out	Lights Out	0	2011	2011	60	Crime,Drama,Sport
tt0288371	tvSeries	Lifting	Lifting	0	2001	2002	\N	Comedy
tt13276742	tvMiniSeries	The 3D-Machine	The 3D-Machine	0	2013	2013	3	Animation
tt27303120	tvSeries	Koshky Hanar	Koshky Hanar	0	2023	2023	50	Drama,Mystery
tt13788320	tvSeries	The World of Fantasy	Ling Yu	0	2021	2021	\N	Action,Adventure,Drama
tt18501814	tvSeries	Mahek - Mota ghar ni vahu	Mahek - Mota ghar ni vahu	0	2016	2019	\N	Family
tt14667632	tvMiniSeries	Status Pending the Series	Status Pending the Series	0	2018	2018	\N	Comedy
tt1046250	tvSeries	45	45	0	1974	1975	\N	Music
tt14861208	tvSeries	Up on the Roof	Up on the Roof	0	2002	2005	\N	Animation,Family
tt4355754	tvSeries	Ghost Fit	Ghost Fit	0	2013	2014	\N	Short
tt1162658	tvSeries	Demonbane	Kishin hôkô Demonbane	0	2006	2006	25	Animation,Comedy,Romance
tt27212745	tvMiniSeries	CoByKdyby?	CoByKdyby?	0	2018	2018	10	Comedy,Fantasy,Short
tt14908656	tvSeries	The Legend of Beggar King and Big Foot Queen	The Legend of Beggar King and Big Foot Queen	0	2015	2015	45	History
tt27757984	tvSeries	Couples Counseling	Couples Counseling	0	2013	2014	\N	Comedy
tt0300602	tvSeries	Urban Gothic	Urban Gothic	0	2000	2021	30	Horror
tt27931811	tvMiniSeries	Navahang Party	Navahang Party	0	2018	2019	\N	Musical
